iter	RMSE
0	88.19775054
1	nan
2	nan
3	nan
4	nan
5	nan
6	nan
7	nan
8	nan
9	nan
10	72.2254613
11	nan
12	nan
13	nan
14	nan
15	nan
16	nan
17	nan
18	nan
19	nan
20	60.39185609
21	nan
22	nan
23	nan
24	nan
25	nan
26	nan
27	nan
28	nan
29	nan
30	51.77004327
31	nan
32	nan
33	nan
34	nan
35	nan
36	nan
37	nan
38	nan
39	nan
40	45.48095521
41	nan
42	nan
43	nan
44	nan
45	nan
46	nan
47	nan
48	nan
49	nan
50	41.02329015
51	nan
52	nan
53	nan
54	nan
55	nan
56	nan
57	nan
58	nan
59	nan
60	37.90986911661	nan662	nan663	nan664	nan665	nan666	nan667	nan668	nan669	nan770	35.65071331771	nan772	nan773	nan774	nan775	nan776	nan777	nan778	nan779	nan880	33.91532798881	nan882	nan883	nan884	nan885	nan886	nan887	nan888	nan889	nan990	32.58496816991	nan992	nan993	nan994	nan995	nan996	nan997	nan998	nan999	nan1100	31.463918071101	nan1102	nan1103	nan1104	nan1105	nan1106	nan1107	nan1108	nan1109	nan1110	30.618227321111	nan1112	nan1113	nan1114	nan1115	nan1116	nan1117	nan1118	nan1119	nan1120	29.817134061121	nan1122	nan1123	nan1124	nan1125	nan1126	nan1127	nan1128	nan1129	nan1130	29.224786811131	nan1132	nan1133	nan1134	nan1135	nan1136	nan1137	nan1138	nan1139	nan1140	28.635027561141	nan1142	nan1143	nan1144	nan1145	nan1146	nan1147	nan1148	nan1149	nan1150	28.056538371151	nan1152	nan1153	nan1154	nan1155	nan1156	nan1157	nan1158	nan1159	nan1160	27.571690071161	nan1162	nan1163	nan1164	nan1165	nan1166	nan1167	nan1168	nan1169	nan1170	27.112380251171	nan1172	nan1173	nan1174	nan1175	nan1176	nan1177	nan1178	nan1179	nan1180	26.751429251181	nan1182	nan1183	nan1184	nan1185	nan1186	nan1187	nan1188	nan1189	nan1190	26.337291451191	nan1192	nan1193	nan1194	nan1195	nan1196	nan1197	nan1198	nan1199	nan2200	25.9956683
201	nan
202	nan
203	nan
204	nan
205	nan
206	nan
207	nan
208	nan
209	nan
210	25.64146549
211	nan
212	nan
213	nan
214	nan
215	nan
216	nan
217	nan
218	nan
219	nan
220	25.35646282
221	nan
222	nan
223	nan
224	nan
225	nan
226	nan
227	nan
228	nan
229	nan
230	25.01749861
231	nan
232	nan
233	nan
234	nan
235	nan
236	nan
237	nan
238	nan
239	nan
240	24.73081439
241	nan
242	nan
243	nan
244	nan
245	nan
246	nan
247	nan
248	nan
249	nan
250	24.4426496
251	nan
252	nan
253	nan
254	nan
255	nan
256	nan
257	nan
258	nan
259	nan
260	24.19434615
261	nan
262	nan
263	nan
264	nan
265	nan
266	nan
267	nan
268	nan
269	nan
270	23.9949193
271	nan
272	nan
273	nan
274	nan
275	nan
276	nan
277	nan
278	nan
279	nan
280	23.76190302
281	nan
282	nan
283	nan
284	nan
285	nan
286	nan
287	nan
288	nan
289	nan
290	23.48876658
291	nan
292	nan
293	nan
294	nan
295	nan
296	nan
297	nan
298	nan
299	nan
300	23.23852179
301	nan
302	nan
303	nan
304	nan
305	nan
306	nan
307	nan
308	nan
309	nan
310	22.99593442
311	nan
312	nan
313	nan
314	nan
315	nan
316	nan
317	nan
318	nan
319	nan
320	22.76862682
321	nan
322	nan
323	nan
324	nan
325	nan
326	nan
327	nan
328	nan
329	nan
330	22.52706467
331	nan
332	nan
333	nan
334	nan
335	nan
336	nan
337	nan
338	nan
339	nan
340	22.29691664
341	nan
342	nan
343	nan
344	nan
345	nan
346	nan
347	nan
348	nan
349	nan
350	21.99232487
351	nan
352	nan
353	nan
354	nan
355	nan
356	nan
357	nan
358	nan
359	nan
360	21.75331902
361	nan
362	nan
363	nan
364	nan
365	nan
366	nan
367	nan
368	nan
369	nan
370	21.49269525
371	nan
372	nan
373	nan
374	nan
375	nan
376	nan
377	nan
378	nan
379	nan
380	21.19636848
381	nan
382	nan
383	nan
384	nan
385	nan
386	nan
387	nan
388	nan
389	nan
390	20.89066085
391	nan
392	nan
393	nan
394	nan
395	nan
396	nan
397	nan
398	nan
399	nan
400	20.63101872
401	nan
402	nan
403	nan
404	nan
405	nan
406	nan
407	nan
408	nan
409	nan
410	20.32186924
411	nan
412	nan
413	nan
414	nan
415	nan
416	nan
417	nan
418	nan
419	nan
420	20.0702877
421	nan
422	nan
423	nan
424	nan
425	nan
426	nan
427	nan
428	nan
429	nan
430	19.81608378
431	nan
432	nan
433	nan
434	nan
435	nan
436	nan
437	nan
438	nan
439	nan
440	19.58121127
441	nan
442	nan
443	nan
444	nan
445	nan
446	nan
447	nan
448	nan
449	nan
450	19.3842672
451	nan
452	nan
