iter	Passed	Remaining
0	192	962072
1	246	616499
2	294	490158
3	350	437707
4	402	401948
5	446	371712
6	494	352375
7	562	350802
8	618	343140
9	666	332675
10	689	312697
11	739	307565
12	801	307636
13	836	297937
14	879	292398
15	952	296586
16	1006	295084117	1047	289810118	1091	286157119	1145	285158220	1214	287845221	1265	28624822	1294	280187
23	1360	281986
24	1425	283699
25	1480	283137
26	1525	280891
27	1565	277998
28	1616	277095
229	1691	280202330	1750	280508331	1799	279367332	1858	279657333	1912	279382334	1976	280402335	2038	281135336	2085	279775337	2145	280172338	2197	279555339	2246	278565440	2296	277802441	2348	277289442	2392	275856443	2445	275405444	2494	274665445	2539	273511446	2581	272053447	2631	271503448	2687	271565449	2748	272077550	2801	271855551	2856	271800
52	2901	270847553	2952	270391
54	2998	269615
55	3053	269580
56	3096	268485
57	3176	270620
58	3236	271053
59	3293	271160
60	3354	271564
61	3407	271403
62	3449	270334
63	3501	270042
64	3560	270297
65	3595	268816
66	3642	268149
67	3693	267888
68	3758	268627
69	3812	268530
70	3855	267626
71	3891	266372
72	3940	265939
73	3988	265527
74	4036	265057
75	4080	264357
76	4132	264200
77	4190	264401
78	4243	264306
79	4283	263417
80	4339	263546
81	4389	263279
82	4450	263653
83	4503	263555
84	4574	264506
85	4627	264423
86	4682	264404
87	4724	263710
88	4767	263070
89	4826	263306
90	4886	263614
91	4945	263805
92	4993	263488
93	5047	263428994	5127	264728
95	5165	263870
96	5227	264254
97	5294	264849
98	5351	264933
99	5389	264086
100	5419	262874
101	5473	262824
102	5521	262490
103	5587	263049
104	5641	262994
105	5690	2627221106	5732	2621241107	5799	2627161108	5851	2625781109	5924	2633831110	5979	2633481111	6043	2637401112	6099	2637701113	6148	2635311114	6205	2636161115	6263	2637041116	6308	2632691117	6375	2637681118	6419	2633051119	6485	2637351120	6553	2642681121	6582	2631951122	6640	2633061123	6682	2627611124	6727	2623621125	6782	262351
126	6848	262786
127	6921	263456
128	6975	263388
129	7028	263303
130	7072	2628561131	7119	2625451132	7181	2628081133	7232	2626421134	7303	2631871135	7357	2631481136	7414	2631761137	7463	2629391138	7515	2628271139	7565	2626271140	7623	2627291141	7679	2627211142	7741	2629371143	7811	2634191144	7872	2635761145	7932	2637281146	7982	263528147	8020	262943
148	8099	263690
149	8161	263875
150	8213	263767
151	8285	264263
152	8342	264295
153	8398	264277
154	8458	264388
155	8512	264325
156	8570	264389
157	8617	264103
158	8664	263817
159	8722	263860
160	8777	263819
161	8838	263945
162	8890	263816
163	8946	263804
164	8995	263608
165	9077	264329
166	9142	264580
167	9215	265049
168	9281	265308
169	9336	265254
170	9401	265508
171	9471	265860
172	9529	265900
173	9603	266346
174	9647	265992
175	9690	265617
176	9764	266057
177	9824	266150
178	9891	266417
179	9982	267305
180	10044	267422
181	10122	267964
182	10197	268414
183	10260	268561
184	10312	268405
185	10372	268460
186	10436	268619
187	10502	268821
188	10567	268989
189	10620	268867
190	10683	268978
191	10732	268765
192	10785	268623
193	10856	268959
194	10910	268837
195	10961	268669
196	11021	268710
197	11080	268728
198	11144	268877
199	11210	269063
200	11275	269206
201	11348	269561
202	11418	269825
203	11447	269138
204	11483	268608
205	11548	268744
206	11611	268849
207	11666	268789
208	11718	268637
209	11773	268556
210	11834	268606
211	11883	268395
212	11926	268044
213	11972	267769
214	12040	267980
215	12098	267953
216	12158	267991
217	12220	268073
218	12265	2677662219	12349	268317
220	12415	268486
221	12477	268550
222	12543	268711
223	12623	269141
224	12684	269186
225	12737	269061
226	12803	269203
227	12874	269452
228	12951	269828
229	13002	269662
230	13089	270223
231	13165	270566
232	13230	270685
233	13297	270841
234	13361	270925
235	13420	270918
236	13476	270842
237	13546	271049
238	13602	270978
239	13679	271316
240	13745	271421
241	13815	271628
242	13874	271603
243	13931	271546
244	13989	271503
245	14067	271862
246	14127	271847
247	14168	271483
248	14249	271890
249	14306	271817
250	14356	271627
251	14430	271892
252	14494	271966
253	14554	271945
254	14601	271711
255	14663	271732
256	14704	271380
257	14784	271738
258	14857	271962
259	14907	271769
260	14964	271707
261	15012	271479
262	15082	271660
263	15141	271633
264	15198	271566
265	15285	272033
266	15344	272003
267	15416	272210
268	15480	272263
269	15542	272285
270	15598	272196
271	15682	272592
272	15767	273011
273	15826	272985
274	15880	272855
275	15947	272962
276	16010	272983
277	16083	273194
278	16164	273518
279	16240	273767
280	16322	274118
281	16379	274043
282	16432	273901
283	16491	273854
284	16540	273635
285	16608	273746
286	16657	273541
287	16660	272576
288	16706	272336
289	16754	272115
290	16817	272137
291	16880	272163
292	16949	272297
293	17003	272170
294	17055	272024
295	17116	272016
296	17175	271981
297	17233	271925
298	17284	271747
299	17320	271353
300	17384	271398
301	17439	271288
302	17499	271264
303	17557	271218
304	17618	271201
305	17659	270896
306	17715	270804
307	17765	270628
308	17829	270668
309	17883	270555
310	17951	270656
311	18007	270572
312	18077	270699
313	18158	270997
314	18238	271258
315	18289	271099
316	18376	271471
317	18447	271602
318	18494	271390
319	18558	271417
320	18622	271448
321	18703	271725
322	18773	271838
323	18844	271963
324	18898	271844
325	18949	271692
326	19000	271529
327	19051	271362
328	19122	271487
329	19200	271710
330	19279	271952
331	19339	271922
332	19391	271776
333	19457	271821
334	19512	271724
335	19567	271614
336	19628	271602
337	19674	271362
338	19729	271266
339	19787	271202
340	19857	271303
341	19926	271399
342	19989	271402
343	20048	271351
344	20111	271354
345	20182	271469
346	20241	271426
347	20310	271508
348	20365	271398
349	20433	271467
350	20479	271252
